Xline	Inline	FS11	shallow	Truncation	TopForesets	MFS4	FS8	FS7	FS6	FS4
463	244	579.4964	458.35883	1002.3185	1033.2802	1046.0757	721.67865	897.29401	947.3045	1080
464	244	581.0072	457.6691	1002.4615	1033.15	1045.8431	720.93121	896.63715	947.3045	1079.7219
465	244	580.80048	456.81708	1002.637	1033.01	1045.5598	720.44562	895.96637	947.3045	1079.4446
466	244	580.39124	456.65305	1002.6631	1032.83	1045.251	720.15997	895.27466	947.3045	1079.1757
467	244	580.04791	456.36905	1002.5655	1032.6201	1044.9464	719.75531	894.58289	947.3045	1078.9154
468	244	579.8761	456.21204	1002.455	1032.3901	1044.6715	719.04596	893.87714	947.3045	1078.655
469	244	579.81018	456.32492	1002.3055	1032.16	1044.4642	718.09851	893.17145	947.3045	1078.4031
470	244	579.74805	456.35669	1002.1299	1031.92	1044.3036	717.07501	892.46564	947.3045	1078.1556
471	244	579.58173	456.29318	1001.8828	1031.65	1043.8298	716.06573	891.75293	947.3045	1077.9166
472	244	579.43848	456.26144	1001.6228	1031.37	1043.6522	715.15637	891.0332	947.3045	1077.6733
473	244	579.32446	456.07092	1001.4147	1031.08	1043.4618	714.49457	890.32056	947.3045	1077.4258
474	244	579.23926	455.83984	1001.2911	1030.79	1043.2758	714.15662	889.60083	947.3045	1077.1057
475	244	579.05487	455.6705	1001.1807	1030.5302	1043.0981	713.85669	888.88116	947.3045	1076.7472
476	244	578.89941	455.32477	1001.0311	1030.3102	1042.9458	713.40912	888.15442	947.3045	1076.363
477	244	578.74146	455.05841	1000.8556	1030.14	1042.8317	712.72839	887.43469	947.3045	1076.0771
478	244	578.65753	455.11133	1000.641	1030	1042.7471	711.93329	886.71503	947.3045	1075.8424
479	244	578.63892	455.2948	1000.4003	1029.89	1042.3663	711.11926	885.9953	947.3045	1075.6504
480	244	578.87006	455.59641	1000.1273	1029.8101	1042.2648	710.367	885.28265	947.3045	1075.4456
481	244	579.04938	455.68283	999.85419	1029.7401	1042.1633	709.82904	884.56293	947.3045	1075.2406
482	244	579.24194	455.76401	999.58112	1029.6401	1042.0787	709.53864	881.49542	947.3045	1074.9504
483	244	579.23322	455.73401	999.28851	1029.51	1042.0026	709.22443	880.83862	947.3045	1074.5834
484	244	579.27991	455.8187	999.00238	1029.3501	1041.9349	708.73401	880.16785	947.3045	1074.1395
485	244	579.25018	455.70404	998.72278	1029.17	1041.8673	708.02942	879.50403	947.3045	1073.7853
486	244	579.24298	455.8028	998.49524	1028.98	1041.7954	707.23438	878.84021	947.3045	1073.5078
487	244	579.03729	455.50824	998.28723	1028.8102	1041.4739	706.41553	878.17639	947.3045	1073.3158
